time_s,command_vx,mean_vx,mean_vy,mean_yaw,mean_power_w,alive_fraction,within_tolerance_fraction
0.2,1.6,1.6670072,-0.043830067,-0.1407271,226.52274,1.0,1.0
0.2,1.8,1.8052089,-0.04622139,-0.11895941,280.74475,1.0,1.0
0.2,2.0,1.9765335,-0.05470548,-0.109400034,130.52417,1.0,1.0
0.2,2.2,2.1680017,-0.06683044,-0.084967166,165.52856,1.0,1.0
0.2,2.4,2.3430545,-0.073125035,0.1481275,306.2359,1.0,1.0
0.2,2.6,2.5278394,-0.074951366,-0.058326032,418.22314,1.0,1.0
0.2,2.8,2.6855774,-0.07435271,-0.38099527,396.90784,1.0,0.0
0.2,3.0,2.8979297,-0.0898118,0.0132419625,226.08972,1.0,1.0
0.2,3.2,3.0996695,-0.128443,0.18487221,143.09302,1.0,0.6875
0.2,3.4,3.2348845,-0.1259661,0.03790417,296.30988,1.0,0.875
0.2,3.6,3.3221567,-0.14720376,0.11192376,307.51346,1.0,0.375
0.2,3.8,3.3951342,-0.14656463,0.2508009,256.91656,1.0,0.0
0.2,4.0,0.00567593,0.03483652,0.025292188,9.9991455,1.0,0.0
0.2,4.2,-0.0037094154,-0.005930137,0.020318173,4.752775,1.0,0.0
0.2,4.4,-0.0021377902,-0.008179257,0.01984109,3.9918873,1.0,0.0
0.2,4.6,-0.002588466,-0.0013527477,0.0191021,4.3993416,1.0,0.0
0.2,4.8,-0.0021308847,-0.0054537165,0.013039468,7.5101795,1.0,0.0
0.2,5.0,-0.004156275,-0.0034766058,0.04831945,8.855494,1.0,0.0
0.22,0.0,-0.014646127,-0.012362976,-0.091842055,7.2828693,1.0,1.0
0.22,0.2,0.17325218,-0.015848845,0.16161631,9.12379,1.0,1.0
0.22,0.4,0.3677678,-0.016702015,0.14638981,12.193621,1.0,1.0
0.22,0.6,0.5654087,-0.018478673,0.067621276,16.86385,1.0,1.0
0.22,0.8,0.78620625,-0.00607726,0.035166934,33.543808,1.0,1.0
0.22,1.0,1.0214409,-0.0030935835,-0.059806712,64.740005,1.0,1.0
0.22,1.2,1.2361556,-0.01996859,-0.07405333,124.42099,1.0,1.0
0.22,1.4,1.446037,-0.042846706,-0.111229464,187.28915,1.0,1.0
0.22,1.6,1.6282713,-0.032113608,-0.15340453,230.83072,1.0,1.0
0.22,1.8,1.7837226,-0.033725638,-0.0622951,160.51389,1.0,1.0
0.22,2.0,1.9708424,-0.05393502,-0.08839096,117.388054,1.0,1.0
0.22,2.2,2.188823,-0.06459243,-0.00042400789,118.71484,1.0,1.0
0.22,2.4,2.3158703,-0.041213773,0.08797216,305.65875,1.0,1.0
0.22,2.6,2.5127957,-0.07692767,-0.18679819,488.654,1.0,0.625
0.22,2.8,2.6911678,-0.061206143,-0.3618873,199.67911,1.0,0.0
0.22,3.0,2.9198847,-0.108325765,0.072347686,150.81342,1.0,1.0
0.22,3.2,3.126563,-0.14564367,-0.5228881,678.7407,1.0,0.0
0.22,3.4,3.2025034,-0.13630544,-0.81267333,888.197,1.0,0.0
0.22,3.6,3.2868996,-0.1603599,-0.813161,921.47754,1.0,0.0
0.22,3.8,3.3767173,-0.16653802,-0.6674634,949.4345,1.0,0.0
0.22,4.0,0.004094261,0.035441414,0.028360637,9.655043,1.0,0.0
0.22,4.2,-0.0038466637,-0.005786203,0.021015767,4.5965247,1.0,0.0
0.22,4.4,-0.0019728986,-0.007841194,0.021013105,4.2393007,1.0,0.0
